name,price,original_price,discount,rating,review_count,brand,seller,shipping,url,category
R8 A6 - High Quality 2.4G Rechargeable Wireless Mouse - RGB LED Lighting- Nano USB Receiver,EGP 600.00,,,,,R8,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA1XRVMGNAFAMZ-161810131&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
General Tp-link Archer AX1500 Dual-Band Wi-Fi 6 Router - AX12,"EGP 3,599.00","EGP 5,069.00",29%,,,General,,,https://www.jumia.com.eg/general-tp-link-archer-ax1500-dual-band-wi-fi-6-router-ax12-129517129.html,computing-accessories
A4tech Wired Mouse-Black,EGP 350.00,EGP 390.00,10%,,,A4tech,,,https://www.jumia.com.eg/customer/account/login/?tkWl=A4267EA304URRNAFAMZ-187875556&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Mini Microphone For Laptop,EGP 220.00,,,,,Mini,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA05VYLXNAFAMZ-154645913&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
"Avantree Multifunctional Laptop Desk - Minitable Suitable For 17"" Laptop Computers Or Smaller",EGP 999.00,"EGP 1,499.00",33%,,,Avantree,,,https://www.jumia.com.eg/avantree-multifunctional-laptop-desk-minitable-suitable-for-17-laptop-computers-or-smaller-129637514.html,computing-accessories
Forev FV-209 Wired RGB Multimedia Speaker – 3W / 2.0 Channel For PC And Laptop,EGP 405.00,EGP 450.00,10%,5 out of 5,5 out of 5(1),Forev,,,https://www.jumia.com.eg/customer/account/login/?tkWl=FO126EA3138HSNAFAMZ-167867953&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Tempered Glass UV Privacy Screen Anti Shock Curved (Support Lock Finger Screen Whole) For Honor Magic 7 Pro,EGP 500.00,,,1 out of 5,1 out of 5(1),Tempered,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA21R2ERNAFAMZ-212015124&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
VABi  VABICABLE USB TO LIGHTNING-(CA6) 1M,EGP 90.00,,,,,VABi,,,https://www.jumia.com.eg/customer/account/login/?tkWl=VA487EA1T7FSBNAFAMZ-195813000&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Replacement Toner HP 55A Compatible Laser Toner Cartridge,EGP 600.00,EGP 750.00,20%,,,Replacement,,,https://www.jumia.com.eg/generic-replacement-toner-hp-55a-compatible-laser-toner-cartridge-130238074.html,computing-accessories
Logitech M90 Optical Wired Mouse - Black,EGP 399.00,,,5 out of 5,5 out of 5(1),Logitech,,,https://www.jumia.com.eg/customer/account/login/?tkWl=LO019EA2MBFKVNAFAMZ-185646864&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Golden Print Toner 59A Cartridge Golden Print Without Chip -CF259A,EGP 450.00,,,,,Golden,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GO840EA1O95ECNAFAMZ-179814308&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Lenovo 530 Wireless Mouse - Cherry Red,EGP 799.00,EGP 899.00,11%,4.7 out of 5,4.7 out of 5(3),Lenovo,,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018EA1NBZIJNAFAMZ-124790087&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
World Map Mouse Pad - 70 X 30cm - Soft Rubber Smooth Cloth Surface Game Mat,EGP 199.00,EGP 275.00,28%,4.9 out of 5,4.9 out of 5(12),World,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA1J8YMSNAFAMZ-38426983&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Starry Night Cat Mouse Pad For Laptop And Computer,EGP 129.99,,,,,Starry,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA35SBJ6NAFAMZ-201095790&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Qwen Replacement  Premium Toner Cartridges Q7553A 53A For HP Laserjet P2010/P2015/P2014/M2727NF  - Black,EGP 350.00,EGP 499.00,30%,5 out of 5,5 out of 5(1),Qwen,,,https://www.jumia.com.eg/customer/account/login/?tkWl=QW289EL0QDBJINAFAMZ-37683959&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Tempered Glass UV Privacy Screen Anti Shock Curved (Support Lock Finger Screen Whole) For Samsung Galaxy Note 20 Ultra,EGP 350.00,,,,,Tempered,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA34M0AJNAFAMZ-211999860&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Point TYPE C ETHERNET 10/100/1000POINT,EGP 310.00,,,4 out of 5,4 out of 5(1),Point,,,https://www.jumia.com.eg/customer/account/login/?tkWl=PO355EA2FBKM1NAFAMZ-187172453&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Redragon M908 Impact RGB Mouse 18 Programmable Mouse Buttons,"EGP 1,399.00","EGP 2,100.00",33%,,,Redragon,,,https://www.jumia.com.eg/customer/account/login/?tkWl=RE733EA0CI2DGNAFAMZ-107068307&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
An Additional Slim HDD Holder For DVDs,EGP 199.00,,,,,An,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA1E7XS1NAFAMZ-154144873&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Multi Function 3 Port USB HUB Splitter Combo Card Reader Support Micro TF SD M2 MS SDHC MMC Card Read Write,EGP 199.00,"EGP 2,000.00",90%,5 out of 5,5 out of 5(1),Multi,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA35176JNAFAMZ-193778289&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
2B Business Series Wired Mouse - 2M - Black MO663,EGP 299.00,EGP 399.00,25%,5 out of 5,5 out of 5(1),2B,,,https://www.jumia.com.eg/customer/account/login/?tkWl=2B133EA1OFZG5NAFAMZ-190094374&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Standard GM-07  Gaming Headphone  - Silver,EGP 800.00,"EGP 1,600.00",50%,,,Standard,,,https://www.jumia.com.eg/customer/account/login/?tkWl=ST836EA387CR0NAFAMZ-207439677&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Epson T6644 Ink Bottle - 70ml - 4 Pcs,"EGP 1,799.00","EGP 1,900.00",5%,4.3 out of 5,4.3 out of 5(7),Epson,,,https://www.jumia.com.eg/customer/account/login/?tkWl=EP015EL14WWQWNAFAMZ-46925498&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Epson T664 B Ink Cartridge 664 Black  C13T66414A,EGP 598.00,,,,,Epson,,,https://www.jumia.com.eg/customer/account/login/?tkWl=EP015EA34L5H0NAFAMZ-179814296&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Crucial RAM CT8G4DFRA32A 8GB DDR4 3200 MHz CL22 Desktop Memory,EGP 870.00,,,5 out of 5,5 out of 5(1),Crucial,,,https://www.jumia.com.eg/customer/account/login/?tkWl=CR729DS0ADQAFNAFAMZ-153570563&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Hard Disk Drive Case For 2.5-inch External HDD - 2 Pcs,EGP 199.00,,,4.7 out of 5,4.7 out of 5(3),Hard,,,https://www.jumia.com.eg/generic-hard-disk-drive-case-for-2.5-inch-external-hdd-2-pcs-29215609.html,computing-accessories
Cable Telephone  20 Meter Long Black,EGP 150.00,,,5 out of 5,5 out of 5(1),Cable,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA0OH0J2NAFAMZ-40675084&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Meetion MT- SP2010 Wired Speaker 3.5mm&USB - Black,EGP 325.00,EGP 499.00,35%,1 out of 5,1 out of 5(1),Meetion,,,https://www.jumia.com.eg/customer/account/login/?tkWl=ME632EA1ZF97JNAFAMZ-185860907&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
"Jertech Gaming Keyboard and Mouse KM960, LED Lighting, 104 Keys, 3200 DPI, Ergonomic and High-Performance Design",EGP 900.00,,,,,Jertech,,,https://www.jumia.com.eg/customer/account/login/?tkWl=JE383EA2DNTA0NAFAMZ-210026437&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Havit Mouse bad HV-MP839 (Black),EGP 110.00,,,,,Havit,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HA280EA2KWFOONAFAMZ-210799676&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Split Joint (USB 3.0) 4 Ports - For High-speed Charging - 30cm,EGP 174.73,,,4.7 out of 5,4.7 out of 5(3),Split,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA0PQMMENAFAMZ-73639289&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Cable connection to connect the computer screen to the receiver,EGP 100.00,,,3.5 out of 5,3.5 out of 5(2),Cable,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA35TFIANAFAMZ-172695875&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Boya BY-CM3 Desktop USB Microphone - Black,"EGP 1,799.00","EGP 2,999.00",40%,,,Boya,,,https://www.jumia.com.eg/customer/account/login/?tkWl=BO919EA1HZXAXNAFAMZ-155516663&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
HP 953 Magenta Original Ink Cartridge,"EGP 1,599.00",,,,,HP,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HP431EA0T64X0NAFAMZ-47197681&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Remote Control AKB74915324 For LG Smart TV Remote Control,EGP 186.89,EGP 209.99,11%,,,Remote,,,https://www.jumia.com.eg/generic-remote-control-akb74915324-for-lg-smart-tv-remote-control-130606274.html,computing-accessories
HP 250 Dual Mouse Bluetooth® 5.0 6V2J7AA - Black,"EGP 1,060.00","EGP 1,299.00",18%,,,HP,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HP431EA1V95CFNAFAMZ-211114123&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
HDMI Ethernet Extender - 30m - Blue,EGP 173.00,,,,,HDMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA066B0FNAFAMZ-51892530&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Rapoo X120Pro - Wired Optical Black Mouse Keyboard Combo,EGP 525.00,EGP 849.00,38%,,,Rapoo,,,https://www.jumia.com.eg/customer/account/login/?tkWl=RA604CL2VK3EBNAFAMZ-194490878&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Lexar Professional SILVER PRO 64G SDXC™ UHS-II Card,"EGP 1,065.00","EGP 1,865.00",43%,4.5 out of 5,4.5 out of 5(2),Lexar,,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE182EA0QJYSNNAFAMZ-88858894&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Handheld Portable Rechargeable Mini Fan,EGP 235.00,,,3.5 out of 5,3.5 out of 5(2),Handheld,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EL104O9YNAFAMZ-45760394&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
"Leather Phone Case for Mobile Redmi Note 13 Pro Plus, Triple Camera Cutout (Black)",EGP 150.00,,,,,Leather,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA2AJQEGNAFAMZ-209738721&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
Meetion Wireless Ultra-thin Apple Keyboard ikey K210,"EGP 1,099.00","EGP 1,449.00",24%,,,Meetion,,,https://www.jumia.com.eg/customer/account/login/?tkWl=ME632EC1NKVCVNAFAMZ-211114391&return=%2Fcomputing-accessories%2F%3Fpage%3D16,computing-accessories
"Portable Air Conditioning Fan, 4 In 1 Personal Mini Cooling Unit With 3 Speeds, 5 Mist Nozzles, 7 Color Light, Perfume Diffuser, USB Handle And Auto Timer, Perfect For Room, Office And Travel (White)",EGP 489.00,,,,,Portable,,,https://www.jumia.com.eg/generic-portable-air-conditioning-fan-4-in-1-personal-mini-cooling-unit-with-3-speeds-5-mist-nozzles-7-color-light-perfume-diffuser-usb-handle-and-auto-timer-perfect-for-room-office-and-travel-white-118161890.html,computing-accessories
Dual Game Pad For PC Usb Vibration - Black,EGP 399.00,,,5 out of 5,5 out of 5(1),Dual,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA08FF7ENAFAMZ-73254591&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Point Speaker Laptop/computer Gaming  RGB Lights PT-122,EGP 499.00,EGP 550.00,9%,,,Point,,,https://www.jumia.com.eg/customer/account/login/?tkWl=PO355EA23NXQ0NAFAMZ-210810349&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Dvi To Hdmi Adapter - Black,EGP 89.88,,,3.3 out of 5,3.3 out of 5(6),Dvi,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA0BQO60NAFAMZ-44232928&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Usb Super Speed - 3.0 Hub - 7 Ports - Black,EGP 194.93,,,4 out of 5,4 out of 5(1),Usb,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA2E92YZNAFAMZ-188715418&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
HDMI To VGA 15 Pin Adapter + Sound Cable,EGP 130.00,EGP 250.00,48%,4.5 out of 5,4.5 out of 5(31),HDMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EL1KNN96NAFAMZ-40782255&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Manhattan Performance III Wireless Optical USB Mouse 1000 DPI - 190145 - Black,EGP 339.00,EGP 407.00,17%,,,Manhattan,,,https://www.jumia.com.eg/manhattan-performance-iii-wireless-optical-usb-mouse-1000-dpi-190145-black-129517425.html,computing-accessories
Nuoxi N1PRO Gaming Headphone With Mic- BLack,EGP 479.00,,,3 out of 5,3 out of 5(1),Nuoxi,,,https://www.jumia.com.eg/customer/account/login/?tkWl=NU778EA0W56YANAFAMZ-37073394&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Tempered Glass UV Privacy Screen Anti Shock Curved (Support Lock Finger Screen Whole) For OnePlus 11R,EGP 350.00,,,,,Tempered,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA2M7PP7NAFAMZ-211999927&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Cat Art Pink Mouse Pad,EGP 140.00,,,5 out of 5,5 out of 5(7),Cat,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA0H2PMHNAFAMZ-63207238&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
3D LED Optical USB Wired Gaming Mouse For PC / Laptop - Black,EGP 121.00,,,,,3D,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EL02GVF3NAFAMZ-118182811&return=%2Fcomputing-accessories%2F%3Fpage%3D17,computing-accessories
Logitech USB Headset H540 for PC Calls and Music - Black,"EGP 2,400.00","EGP 2,999.00",20%,5 out of 5,5 out of 5(1),Logitech,,,https://www.jumia.com.eg/logitech-usb-headset-h540-for-pc-calls-and-music-black-114145900.html,computing-accessories
